Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
334,0,,,
335,0,,,
336,0,,,
337,1,,,
338,0,,,
339,1,Stayt 1931: 229,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,,,
351,0,,,
352,1,Stayt 1931: 35,,
353,0,Stayt 1931: 200,(-),
354,0,,,
