Trait_ID_4th,Trait_presence,Reference,Original_notes,Comments
231,0,,,
232,0,,,
233,0,,,
234,0,,,
235,0,,,
236,0,,,
237,0,,,
238,0,,,
239,0,,,
240,0,,,
241,0,,,
242,0,,,
243,0,,,
244,0,,,
245,0,Jenness 1937: 67,"""In the old Sekani religion there seem to have been no deities",
246,0,Jenness 1937: 67,,
247,0,Jenness 1937: 67,,
248,0,Jenness 1937: 67,,
249,0,Jenness 1937: 67,,
250,0,Jenness 1937: 67,,
251,0,Jenness 1937: 67,,
252,0,Jenness 1937: 67,,
253,0,Jenness 1937: 67,,
254,0,Jenness 1937: 67,,
255,0,Jenness 1937: 67,,
256,0,Jenness 1937: 67,,
257,0,Jenness 1937: 67,,
258,0,Jenness 1937: 67,,
259,0,Jenness 1937: 67,,
260,0,Jenness 1937: 67,,
261,0,Jenness 1937: 67,,
262,0,Jenness 1937: 67,,
263,0,Jenness 1937: 67,,
264,0,Jenness 1937: 67,,
265,0,Jenness 1937: 67,,
266,0,Jenness 1937: 67,,
267,0,Jenness 1937: 67,,
268,0,Jenness 1937: 67,,
269,0,Jenness 1937: 67,,
270,0,Jenness 1937: 67,,
271,0,Jenness 1937: 67,,
272,0,Jenness 1937: 67,,
273,0,Jenness 1937: 67,,
274,0,Jenness 1937: 67,,
275,0,Jenness 1937: 67,,
276,0,Jenness 1937: 67,,
277,0,,,
278,0,,,
279,0,,,
280,0,,,
281,0,,,
282,0,,,
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,0,,,
288,0,,,
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,0,,,
299,0,Jenness 1937: 31,,
300,0,Jenness 1937: 31,,
301,0,Jenness 1937: 31,,
302,0,Jenness 1937: 31,,
303,0,Jenness 1937: 31,,
304,0,Jenness 1937: 31,,
305,0,Jenness 1937: 31,,
306,0,Jenness 1937: 37,,
307,0,Jenness 1937: 37,,
308,0,Jenness 1937: 37,,
309,0,Jenness 1937: 37,,
310,0,Jenness 1937: 37,,
311,0,Jenness 1937: 37,,
312,0,Jenness 1937: 37,,
313,0,Jenness 1937: 37,,
314,0,Jenness 1937: 37,,
315,0,Jenness 1937: 37,,
316,0,Jenness 1937: 37,,
317,0,Jenness 1937: 37,,
318,0,Jenness 1937: 37,,
319,0,Jenness 1937: 31,,
320,0,Jenness 1937: 37,,
321,0,Jenness 1937: 37,,
322,0,Jenness 1937: 37,,
323,0,Jenness 1937: 37,,
324,0,Jenness 1937: 37,,
325,0,Jenness 1937: 37,,
326,0,Jenness 1937: 30,just beads,
327,0,Jenness 1937: 37,,
328,1,Jenness 1937: 43,,
329,0,Jenness 1937: 43,,
330,0,Jenness 1937: 43,,
331,0,Jenness 1937: 43,,
332,0,Jenness 1937: 43,,
333,0,Jenness 1937: 43,,
334,0,,,
335,0,,,
336,0,Jenness 1937: 43,,
337,1,Jenness 1937: 37,"(+); ""Hunters away from camp occasionally boiled their meat in the stomach of a mountain goat by filling bag with water""; [did both]",
338,0,,,
339,0,,,
340,0,,,
341,0,,,
342,0,,,
343,0,,,
344,0,,,
345,0,,,
346,0,,,
347,0,,,
348,0,,,
349,0,,,
350,0,Jenness 1937: 75,,
351,0,,,
352,0,,,
353,0,,,
354,0,,,
