ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
CARNEIRO4_111,Ulithians,10.02,139.79,ulit1238,Ulithi,,,,Ulithi (OR20),OR20,,,,,Northwestern Pacific
CARNEIRO4_112,Crow,45,-108,crow1244,Crow,,,,Crow (NQ10),NQ10,,,,,Northwestern U.S.A.
CARNEIRO4_113,Delaware,41,-75,unam1242,Delaware,,,,Delaware (NM07),NM07,,,,,Northeastern U.S.A.
CARNEIRO4_114,Kurtatchi,-5.60,154.91,tinp1237,Kurtatchi,,,,Tinputz (ON26),ON26,,,,,Papuasia
CARNEIRO4_115,Penobscot,45,-68,peno1243,Penobscot,,,,,,,,,,Northeastern U.S.A.
CARNEIRO4_116,Akawaio,6.16,-60.86,akaw1239,Akawaio,,,,,,,,coordinates from glottolog akaw1239,,Northern South America
CARNEIRO4_117,Wayana,2.78,-54.44,waya1269,Waiyana,,,,,,,,coordinates from glottolog waya1269,,Northern South America
CARNEIRO4_118,Yabarana,5,-66,yaba1248,Yabarana,,,,,,,,,,Northern South America
CARNEIRO4_119,Karankawa,29,-96,kara1289,Karankawa,,,,,,,,,,South-Central U.S.A.
CARNEIRO4_120,Sateré Mawé,-4,-57,sate1243,Maué,,,,,,,,,,Brazil
CARNEIRO4_121,Shoshone,41,-116,shos1248,Shoshone,,,,,,,,Details not specified; coordinates from glottolog shos1248 (Shoshoni),,Southwestern U.S.A.
CARNEIRO4_122,Tiwi,-11.56,130.81,tiwi1244,Tiwi,,,,Tiwi (OI20),OI20,,,,,Australia
CARNEIRO4_123,Ona,-54,-69,onaa1245,Ona,,,,Ona (SH04),SH04,,,,,Southern South America
CARNEIRO4_124,Yuwaalaraay,-29.30,147.25,gami1243,Euahlayi,,,,,,,,,,Australia
CARNEIRO4_125,Sekani,56,-123,seka1250,Sekani,,,,,,,,,,Western Canada
CARNEIRO4_126,Anak Dalam,-3,103,kubu1239,Kubu,,,,,,,,,,Malesia
CARNEIRO4_127,Alacaluf,-52,-74,qawa1238,Alacaluf,,,,,,,,,,Southern South America
