ID,Var_ID,Name,Description,ord
CARNEIRO4_052-0,CARNEIRO4_052,absent,absent,0
CARNEIRO4_052-1,CARNEIRO4_052,present,present,1
CARNEIRO4_053-0,CARNEIRO4_053,absent,absent,0
CARNEIRO4_053-1,CARNEIRO4_053,present,present,1
CARNEIRO4_054-0,CARNEIRO4_054,absent,absent,0
CARNEIRO4_054-1,CARNEIRO4_054,present,present,1
CARNEIRO4_055-0,CARNEIRO4_055,absent,absent,0
CARNEIRO4_055-1,CARNEIRO4_055,present,present,1
CARNEIRO4_056-0,CARNEIRO4_056,absent,absent,0
CARNEIRO4_056-1,CARNEIRO4_056,present,present,1
CARNEIRO4_057-0,CARNEIRO4_057,absent,absent,0
CARNEIRO4_057-1,CARNEIRO4_057,present,present,1
CARNEIRO4_058-0,CARNEIRO4_058,absent,absent,0
CARNEIRO4_058-1,CARNEIRO4_058,present,present,1
CARNEIRO4_059-0,CARNEIRO4_059,absent,absent,0
CARNEIRO4_059-1,CARNEIRO4_059,present,present,1
CARNEIRO4_060-0,CARNEIRO4_060,absent,absent,0
CARNEIRO4_060-1,CARNEIRO4_060,present,present,1
CARNEIRO4_061-0,CARNEIRO4_061,absent,absent,0
CARNEIRO4_061-1,CARNEIRO4_061,present,present,1
CARNEIRO4_062-0,CARNEIRO4_062,absent,absent,0
CARNEIRO4_062-1,CARNEIRO4_062,present,present,1
CARNEIRO4_063-0,CARNEIRO4_063,absent,absent,0
CARNEIRO4_063-1,CARNEIRO4_063,present,present,1
CARNEIRO4_064-0,CARNEIRO4_064,absent,absent,0
CARNEIRO4_064-1,CARNEIRO4_064,present,present,1
CARNEIRO4_065-0,CARNEIRO4_065,absent,absent,0
CARNEIRO4_065-1,CARNEIRO4_065,present,present,1
CARNEIRO4_066-0,CARNEIRO4_066,absent,absent,0
CARNEIRO4_066-1,CARNEIRO4_066,present,present,1
CARNEIRO4_067-0,CARNEIRO4_067,absent,absent,0
CARNEIRO4_067-1,CARNEIRO4_067,present,present,1
CARNEIRO4_068-0,CARNEIRO4_068,absent,absent,0
CARNEIRO4_068-1,CARNEIRO4_068,present,present,1
CARNEIRO4_069-0,CARNEIRO4_069,absent,absent,0
CARNEIRO4_069-1,CARNEIRO4_069,present,present,1
CARNEIRO4_070-0,CARNEIRO4_070,absent,absent,0
CARNEIRO4_070-1,CARNEIRO4_070,present,present,1
CARNEIRO4_071-0,CARNEIRO4_071,absent,absent,0
CARNEIRO4_071-1,CARNEIRO4_071,present,present,1
CARNEIRO4_072-0,CARNEIRO4_072,absent,absent,0
CARNEIRO4_072-1,CARNEIRO4_072,present,present,1
CARNEIRO4_073-0,CARNEIRO4_073,absent,absent,0
CARNEIRO4_073-1,CARNEIRO4_073,present,present,1
CARNEIRO4_074-0,CARNEIRO4_074,absent,absent,0
CARNEIRO4_074-1,CARNEIRO4_074,present,present,1
CARNEIRO4_075-0,CARNEIRO4_075,absent,absent,0
CARNEIRO4_075-1,CARNEIRO4_075,present,present,1
CARNEIRO4_076-0,CARNEIRO4_076,absent,absent,0
CARNEIRO4_076-1,CARNEIRO4_076,present,present,1
CARNEIRO4_077-0,CARNEIRO4_077,absent,absent,0
CARNEIRO4_077-1,CARNEIRO4_077,present,present,1
CARNEIRO4_078-0,CARNEIRO4_078,absent,absent,0
CARNEIRO4_078-1,CARNEIRO4_078,present,present,1
CARNEIRO4_079-0,CARNEIRO4_079,absent,absent,0
CARNEIRO4_079-1,CARNEIRO4_079,present,present,1
CARNEIRO4_080-0,CARNEIRO4_080,absent,absent,0
CARNEIRO4_080-1,CARNEIRO4_080,present,present,1
CARNEIRO4_081-0,CARNEIRO4_081,absent,absent,0
CARNEIRO4_081-1,CARNEIRO4_081,present,present,1
CARNEIRO4_082-0,CARNEIRO4_082,absent,absent,0
